Product URL,Product Name,Product Price,Rating,Number Of Reviews
https://www.amazon.in/dp/B08532K9T2/ref=sspa_dk_detail_2?ie=UTF8&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1,YESO USB Charging Unisex Large Capacity Multifunction Water Resistant Travel Business Laptop Backpack for 15.6 inch Laptop (Town),"? 2,729.00",4.1 out of 5,264
https://www.amazon.in/dp/B09T5XXS9T/ref=sspa_dk_detail_0?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"Wenger MARS Laptop Backpack with Padded compartment for 16 Inch laptop & 10 Inch tablet, Organizer for essentials in Black/Grey (26 Litre)-blend of style & function, Swiss designed, 612034","?2,520.00
",5 out of 5,1
https://www.amazon.in/dp/B08MCGYVQ6/ref=sspa_dk_detail_1?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"Wenger CRANGO 16 Inch Laptop Backpack with Organizer for essentials, Dedicated patch for a bicycle light in Rust Alps Print (27 Litre)-blend of style & function, Swiss designed, 612030","? 1,691.00",4.2 out of 5,10
https://www.amazon.in/dp/B09R23HB9N/ref=sspa_dk_detail_2?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,KINGSONS Water Resistant Polyester Unisex 15.6 inch Laptop Backpack Travel Backpack with USB Charging Port & Anti-theft Back Pocket (Black),"? 3,479.00",,
https://www.amazon.in/dp/B085GDV195/ref=sspa_dk_detail_3?ie=UTF8&psc=1&smid=APBFC7AMQ4Q38&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"EUME Propine Premium 22 Ltrs Massager Backpack for Men & Women with Built-in Massager Technology for your Back relief | Lightweight & Water Resistant | Best for Business, College, Travelers & Office Use | Fits Up-to 15.6"" MacBook or Laptop | Camo Black Color"," ?3,239.00
",4.1 out of 5,43
https://www.amazon.in/dp/B071NL48V3/ref=sspa_dk_detail_4?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,Victorinox,5247,4.4 out of 5,39
https://www.amazon.in/dp/B09V7R98XC/ref=sspa_dk_detail_5?ie=UTF8&psc=1&smid=A2ZJIE4OXD710M&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,Mokobara The Transit Backpack Laptop Bag for Men and Women,"? 4,990.00",4.2 out of 5,176
https://www.amazon.in/dp/B08FQWH9BV/ref=sspa_dk_detail_6?ie=UTF8&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1,YESO Water Resistant Polyester 20 litres Unisex Business Travel Laptop Backpack fits 15.6 inch laptops (Mayor-Black),"? 2,539.00",4.1 out of 5,264
https://www.amazon.in/dp/B07NQZSRFH/ref=sspa_dk_detail_0?ie=UTF8&psc=1&smid=A3KN9TP27V04QR&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,CAT Tarppowerng 15 Ltrs Black Laptop Backpack (83679-01),"? 2,399.00",3.7 out of 5,7
https://www.amazon.in/dp/B09R24PNGL/ref=sspa_dk_detail_1?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,KINGSONS Flat Open Water Resistant Polyester Unisex 15.6 inch Laptop Backpack Travel Backpack with USB Charging Port (Grey),"? 3,479.00",,
https://www.amazon.in/dp/B08B3GL2QF/ref=sspa_dk_detail_2?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,The Clownfish Fredrick 27 liters Faux Leather Mature Laptop Backpack for Men and Women for 15.6 Inch Laptops (Hickory),"? 1,059.00",4.1 out of 54.1 out of 5,222
